predictors_amp_n_ 1,predictors_amp_n_ 2,predictors_amp_n_ 3,predictors_amp_n_ 4,predictors_amp_n_ 5,predictors_amp_n_ 6,predictors_amp_n_ 7,predictors_amp_n_ 8,predictors_amp_n_ 9,predictors_amp_n_10,predictors_amp_n_11,predictors_amp_n_12,predictors_amp_n_13,predictors_amp_n_14,predictors_amp_n_15,predictors_amp_n_16,predictors_amp_n_17,predictors_amp_n_18,predictors_amp_n_19,predictors_amp_n_20,Var2
15,0,95.804,65.729,0.1394,0.23418,99.563,11.747,0.38214,0.21262,33.563,0.067749,3.1084,1.0483,1.0583,0.012578,0,0,0.22984,3,38.039
16,0,75.139,18.952,0.0085747,0.00047273,99.887,10.349,0.078574,0.12365,8.7621,0.0056552,0.01051,0.059745,0.0018241,0.0011574,0,0,0.023848,3,50
17,0,65.66,7.3481,0.78463,0.17482,97.049,0.0060726,0.79381,0.26472,73.162,0.30248,17.827,0.033677,56.493,0.0030481,0,0,3.1269,3,171.25
18,0,98.14,98.701,1.1928,1.6973,98.193,6.7445,0.29165,0.65493,82.657,0.0066186,89.746,0.55804,99.177,0.19387,0,0,0.49623,3,188.55
19,0,13.81,98.197,0.027358,0.010848,99.888,38.967,0.7807,0.24332,2.7169,0.12923,0.11199,0.48424,0.017408,0.004079,0,0,0.052613,3,13.469
20,0,75.235,82.99,0.0036819,0.0018712,99.686,22.412,0.21809,0.12436,8.9376,0.0055738,0.02745,0.26247,0.0034422,0.0019792,0,0,0.31014,3,0
21,0,93.295,85.785,97.592,35.485,99.71,86.074,12.383,99.728,98.599,0.020762,54.536,12.541,29.766,99.995,0,0,99.943,3,35.182
22,0,24.012,98.856,0.0012414,0.0018673,99.165,12.933,3.7996,0.2083,0.69486,0.35059,0.020642,0.10321,0.002206,0.0028578,0,0,0.020701,3,36.539
23,0,99.471,72.782,0.23873,0.32393,99.986,59.88,10.647,2.7058,68.602,0.0022784,99.647,45.294,80.195,0.2774,0,0,11.079,3,186.84
24,0,84.466,80.131,0.0029384,0.043037,99.829,7.0957,0.77284,1.7318,24.121,0.0028163,55.735,2.0453,0.26797,0.41621,0,0,0.44777,3,162.66
25,0,48.998,99.598,0.24413,0.13502,99.753,68.47,2.5294,12.049,15.535,0.099264,1.3073,9.1699,0.011952,1.632,0,0,0.064631,3,32.42
26,0,98.672,90.461,0.98311,29.433,99.926,20.52,0.38916,0.33916,91.532,0.026553,98.071,0.3347,99.779,0.13842,0,0,1.3369,3,183.65
27,0,48.016,2.1962,0.75638,1.6048,99.338,0.91806,1.9836,2.0596,9.138,0.10374,8.4211,1.2885,1.4035,0.3077,0,0,0.1058,3,25.099
28,0,30.832,17.256,0.0019631,0.00054285,99.974,51.524,0.27751,0.14297,2.046,0.09929,0.0055598,0.025756,0.0013035,0.0016525,0,0,0.021647,3,7.7482
29,0,99.695,99.075,27.221,2.5337,99.174,47.549,5.0278,6.3521,62.904,0.11515,85.476,20.433,71.958,3.5258,0,0,96.529,3,185.42
30,0,60.586,0.058289,0.0017519,0.00014,5.4282,0.0048245,0.0020471,0.073975,5.6014,0.00059231,0.0018753,0.014103,0.012332,0.0026616,0,0,0.035364,3,49.711
31,0,72.656,1.0021,0.0022436,0.0013208,98.167,0.071981,1.7164,0.19072,20.093,0.034906,0.013931,1.3089,0.0019231,0.00099319,0,0,0.010887,3,0
32,0,29.02,4.9339,0.0010981,0.015724,99.631,1.5152,0.24535,0.356,1.7293,0.0005819,0.14063,0.076709,0.011699,0.0090156,0,0,0.046301,3,11.874
33,0,28.066,99.936,0.009851,0.00087637,99.985,91.878,1.3332,31.008,5.3206,0.43301,0.0076153,1.042,0.010322,7.9588,0,0,0.076511,3,16.777
34,0,82.804,96.269,0.024318,0.0039524,99.427,5.1324,5.3236,1.2853,16.254,0.071161,0.059368,0.2781,0.0027966,0.010068,0,0,0.065371,3,119.57
35,0,86.271,7.9541,0.042865,0.019081,98.875,2.027,0.08768,0.66883,37.589,0.020972,0.10999,0.024941,0.0091215,0.027762,0,0,0.44176,3,10.114
36,0,79.736,16.819,0.010137,0.001519,97.907,9.5136,0.39633,0.22831,14.259,0.0068543,0.029637,0.71993,0.0055592,0.0022079,0,0,0.28248,3,17.124
37,0,67.319,99.928,0.0040381,0.23734,12.949,11.804,13.622,67.197,0.28499,0.0056916,26.688,88.232,0.030111,39.318,0,0,0.32905,3,167.49
38,0,94.174,89.58,19.464,16.574,45.001,56.458,0.26817,0.39381,75.8,3.9238,49,6.4019,37.908,0.0031378,0,0,4.3682,3,20.906
39,0,71.071,29.324,0.013904,0.00068812,72.425,8.5325,0.51414,0.14194,8.9715,0.021705,0.03274,0.055201,0.0014165,0.0042044,0,0,0.064274,3,24.362
40,0,95.063,65.308,0.27232,0.0057561,99.975,22.747,0.30708,0.26526,80.024,0.00973,0.13857,0.67911,0.0058185,0.0082545,0,0,0.45096,3,16.684
41,0,76.569,97.68,0.021655,0.00046595,68.186,2.4405,1.053,0.11243,10.243,0.0040651,0.025007,0.070347,0.0028574,0.0024651,0,0,0.051996,3,7.5766
42,0,57.438,99.808,0.072109,0.0004886,9.7684,93.385,1.2694,78.934,0.14967,0.0023003,2.3054,0.044203,0.0024881,1.9371,0,0,0.027489,3,173.11
43,0,98.025,9.8414,1.2817,0.0012617,99.742,0.95124,3.1034,0.083311,97.033,0.016713,0.037013,69.977,0.15499,0.0099843,0,0,0.27846,3,22.948
44,0,69.524,97.678,0.060126,0.0043545,99.249,77.716,0.10839,0.31045,2.5894,0.071517,0.041506,0.11698,0.0025486,0.0033712,0,0,0.68073,3,11.001
45,0,86.887,5.1211,0.15769,0.00022539,99.21,12.111,0.26691,0.08182,16.738,0.0053752,0.0096351,0.12414,0.00065491,0.0007299,0,0,0.041972,3,18.558
46,0,96.796,99.987,0.0057634,0.11127,99.959,93.573,6.7212,1.0304,14.544,0.058983,85.051,15.392,18.08,0.066481,0,0,0.16347,3,188.5
47,0,99.941,100,21.753,0.0057777,99.966,6.7145,10.686,26.105,78.815,0.088927,0.053318,55.306,0.064796,1.3814,0,0,1.3316,3,25.003
48,0,75.035,94.329,0.41468,0.02033,99.836,77.747,2.9817,0.30121,9.481,0.799,5.1619,38.185,0.001741,0.0042154,0,0,0.14774,3,58.423
49,0,73.023,94.925,0.13902,0.0003026,99.571,54.755,0.18025,0.20449,8.3707,0.067733,0.03106,1.0338,0.054061,0.009763,0,0,0.032941,3,42.026
50,0,71.357,88.251,0.036097,0.0022913,99.752,52.65,0.25615,0.15273,8.5579,0.016258,0.012847,0.10672,0.0019339,0.0016177,0,0,0.050024,3,180.14
51,0,78.026,5.9463,0.0021547,0.33564,85.476,18.521,3.2698,4.9361,0.18209,0.0037742,76.409,0.16629,10.266,2.7926,0,0,0.024439,3,15.836
52,0,60.881,7.3451,0.78462,0.00073398,97.049,0.013455,1.9419,0.23621,72.971,0.36957,0.078102,0.038235,0.0075091,0.0024894,0,0,0.17144,3,0
53,0,50.989,98.305,0.036436,0.0017971,99.872,37.467,0.19454,22.293,13.238,0.057329,0.62776,0.99397,0.0018332,0.83292,0,0,0.085876,3,0
54,0,69.452,75.602,0.0041703,0.0012172,99.988,22.755,0.19465,0.27508,11.367,0.032036,0.023259,0.40408,0.0020372,0.0016584,0,0,0.055647,3,120.19
55,0,23.763,98.784,0.0048723,0.19228,99.769,79.09,2.2774,0.41632,2.0163,0.0066294,2.9245,3.1714,0.0037603,0.0080719,0,0,0.84265,3,176.66
56,0,2.1679,97.038,0.039374,0.0032348,99.697,72.493,2.4974,2.5369,0.4522,0.082808,0.34609,0.055181,0.0077577,0.12025,0,0,0.42966,3,12.763
57,0,10.922,51.948,0.019399,1.1124,98.912,50.826,3.1358,1.4247,0.6795,0.27084,21.989,15.416,0.15325,0.018742,0,0,0.04848,3,4.944
58,0,4.6356,99.028,0.0016962,0.0012127,99.852,2.1566,1.8527,0.16113,1.5284,0.20451,0.010235,0.18782,0.0011628,0.0028098,0,0,0.050203,3,179.98
59,0,99.365,96.282,0.42816,0.44477,99.991,85.744,4.2039,99.249,61.859,0.49822,1.8429,22.305,0.0086017,99.996,0,0,0.18378,3,0
60,0,40.986,98.73,0.016824,0.00042213,99.986,72.76,0.18363,0.96731,6.8274,0.31748,0.087177,0.13895,0.00093353,0.047568,0,0,0.02548,3,0
61,0,39.886,99.644,0.54769,1.1142,99.377,56.345,2.5367,12.468,15.543,0.043985,99.661,9.3274,94.124,1.6331,0,0,0.06515,3,178.26
62,0,97.004,7.8265,0.98299,29.433,99.957,9.9107,0.32342,0.26424,91.467,0.10406,98.073,0.35018,99.78,0.13832,0,0,1.3387,3,0
63,0,11.333,85.852,0.75638,0.0018221,99.339,66.392,1.572,0.31508,9.138,1.0107,3.206,1.2885,0.022107,0.0069638,0,0,0.1058,3,4.7904
64,0,31.286,9.5174,0.0075265,0.42656,99.974,22.729,0.27751,0.61884,2.0761,0.042372,0.1998,0.72121,0.0067541,0.077526,0,0,0.022437,3,14.302
1,0,6.0444,93.161,94.693,0.010564,99.928,99.998,1.8607,0.83064,0.31509,0.29243,0.43151,3.9852,0.038939,0.26086,0,0,3.034,4,0
2,0,0.13863,0.65548,3.3669,0.0077246,0.00093771,1.3684,0.029463,0.06483,0.25396,0.035581,0.58307,1.4604,0.00072971,0.015332,0,0,0.45098,4,125.39
3,0,0.028014,17.406,95.35,0.0040621,42.709,99.904,2.0264,0.29866,0.54366,0.17724,0.052248,0.41116,0.0072421,0.030808,0,0,7.0429,4,0
4,0,0.1403,1.8837,0.046002,0.051036,0.00011783,95.258,0.40159,0.1756,0.027829,0.021798,0.27297,1.4848,0.04724,0.048858,0,0,0.035994,4,0
5,0,0.011832,38.262,0.013078,0.0034377,1.00E-05,96.507,5.6312,0.70012,0.049537,0.09594,0.056868,4.9242,0.0024579,0.24378,0,0,0.046439,4,155.65
6,0,0.35129,36.235,99.994,0.0013856,0.47261,99.609,1.0072,0.54415,1.3754,0.53009,0.012467,2.7075,0.0019365,0.067786,0,0,1.1032,4,0
7,0,0.0073206,50.317,0.00687,0.0073347,3.68E-06,0.29177,5.7753,0.6015,0.074859,0.88069,1.1877,0.45971,0.010276,0.065462,0,0,0.10604,4,0
8,0,0.077467,12.919,48.831,0.013554,99.488,95.891,0.79223,0.39736,1.3832,0.16993,0.087132,0.4669,0.0078958,0.078311,0,0,3.4299,4,0
9,0,0.15489,96.83,54.306,0.069807,97.346,99.999,1.6074,0.39831,0.97667,0.26761,0.9299,3.6117,0.1909,0.073914,0,0,6.2861,4,0
10,0,0.0071418,93.135,0.26638,0.0011542,99.991,99.999,0.69914,0.67378,0.035378,0.040004,0.25933,0.69341,0.004082,0.26826,0,0,1.1279,4,134.62
11,0,0.075163,71.858,1.5186,0.0024827,9.9521,99.926,0.81551,0.48342,0.034873,0.23618,0.10042,1.4856,0.0010238,0.077457,0,0,0.16234,4,0
12,0,0.34731,72.989,2.2606,0.0025571,99.702,0.045044,6.0673,3.4755,0.087129,0.26975,2.9146,15.083,0.84878,0.12792,0,0,4.0675,4,0
13,0,0.036072,97.278,99.967,0.099077,98.093,99.997,0.97775,0.75122,0.8408,4.2593,0.2205,0.45073,0.0071133,0.083118,0,0,3.1625,4,0
14,0,0.027541,15.997,0.31731,0.00644,0.00014536,98.447,0.26251,0.56263,0.018567,0.028414,0.053984,0.59979,0.0018581,0.030552,0,0,0.062945,4,133.98
15,0,0.0092818,92.825,99.965,0.00042454,99.213,99.872,0.43698,0.1062,0.3733,0.29034,0.20476,0.51728,0.0015843,0.091538,0,0,2.4618,4,0
16,0,0.38226,64.576,0.042827,0.00098847,0.0015206,82.768,2.0519,1.7782,0.13191,0.081158,0.041995,0.033113,0.0037919,0.11541,0,0,0.11256,4,0
17,0,0.0025671,47.213,0.0021979,4.99E-06,6.18E-05,19.726,0.38033,0.28364,0.0077363,0.16433,0.00074767,0.16015,2.45E-05,0.15261,0,0,0.20491,4,0
18,0,0.00029259,1.1112,0.0018198,1.80E-05,1.70E-06,3.1912,0.017336,0.00347,0.0075177,0.014929,0.00086275,0.016449,3.91E-05,0.038298,0,0,0.012547,4,115.65
19,0,0.00031652,0.10667,0.0025775,1.39E-05,2.03E-05,23.028,0.0071819,0.04991,0.0023787,0.0050702,0.0062692,0.048836,0.00011319,0.023749,0,0,0.013275,4,0.10911
20,0,0.1829,36.954,30.686,3.1458,37.441,60.231,1.0187,2.1446,0.50388,0.6606,4.9288,5.9926,0.89679,0.20503,0,0,3.0214,4,0
21,0,0.0014128,3.0557,0.28053,48.809,0.010515,72.154,0.22228,66.065,0.020601,14.084,1.846,94.524,0.007297,0.017018,0,0,33.614,4,0
22,0,0.1829,36.954,30.686,3.1458,37.441,60.231,1.0187,2.1446,0.50388,0.6606,4.9288,5.9926,0.89679,0.20503,0,0,3.0214,4,0
23,0,0.037361,5.2532,0.0086892,0.00032046,5.95E-06,9.69,0.18582,0.44382,0.020784,0.059367,0.015571,3.5855,0.00074795,0.075257,0,0,0.37822,4,151.69
24,0,0.081643,4.6645,68.786,0.0018834,99.894,1.5902,0.15809,0.75632,0.361,0.12158,5.0925,24.773,0.045844,0.028207,0,0,4.3674,4,0.19323
25,0,0.00038732,1.9959,0.0038059,0.00012509,2.04E-06,1.0323,0.072696,0.21033,0.0047015,0.0084508,0.0068997,0.21404,0.0014165,0.068941,0,0,0.62409,4,0
26,0,0.00010552,3.3998,0.00034703,2.36E-06,3.77E-07,29.767,0.013205,0.19376,0.0013557,0.0001559,0.0023699,0.075334,2.82E-05,0.045867,0,0,0.01231,4,149.78
27,0,0.1829,36.954,30.686,3.1458,37.441,60.231,1.0187,2.1446,0.50388,0.6606,4.9288,5.9926,0.89679,0.20503,0,0,3.0214,4,0
28,0,0.0013406,1.7953,0.0049912,4.67E-05,0.00010855,0.17062,0.29965,0.77896,0.010456,0.010915,0.026012,0.23581,0.0037377,0.037129,0,0,0.19772,4,0
29,0,0.050299,78.448,99.146,0.96099,99.872,76.39,0.56618,0.80663,4.7892,0.51171,22.579,40.451,0.24771,0.28472,0,0,20.025,4,153.22
30,0,0.01424,74.89,5.2479,28.749,0.05609,96.254,0.076193,1.7465,0.1764,0.034435,63.158,0.42035,5.3374,0.38231,0,0,0.40198,4,0
31,0,0.047328,75.857,62.975,99.829,94.26,96.682,0.80964,8.9057,1.4891,0.013066,98.203,3.2199,41.101,2.4665,0,0,11.506,4,0
32,0,0.0019863,34.818,0.0017562,0.014938,2.06E-06,85.976,4.4051,0.31219,0.014659,0.12715,0.0085055,0.38815,0.0001972,0.093876,0,0,0.034268,4,0
33,0,0.18681,38.106,94.693,0.010546,99.565,99.999,1.8606,0.5012,1.6419,0.18702,0.20443,3.9852,0.027947,0.11119,0,0,3.029,4,0
34,0,0.1224,22.296,99.72,0.0085933,99.895,99.997,0.57553,0.50525,5.1128,0.30029,0.18762,5.5119,0.12562,0.068187,0,0,1.6851,4,141.21
35,0,0.03472,79.223,6.3712,0.01323,99.289,99.961,2.5407,0.39083,0.37976,0.17973,0.18159,0.39742,0.0085334,0.030108,0,0,8.5088,4,0
36,0,0.0070497,18.651,0.07421,0.0094819,0.00029723,99.647,0.17126,0.48281,0.024876,0.017551,0.052294,1.3198,0.0030718,0.14811,0,0,0.18695,4,0
37,0,0.0097918,36.42,6.5482,0.0016566,95.75,99.615,0.70272,0.38058,0.020087,0.15991,0.018017,2.6993,0.0018518,0.063024,0,0,0.17289,4,152.09
38,0,0.0073059,83.854,0.024797,0.01935,1.41E-05,0.56593,5.3534,0.22217,0.054821,0.60672,1.718,0.068922,0.019011,0.091419,0,0,0.1167,4,0
39,0,0.078091,1.6266,41.558,0.0094007,2.6117,8.4788,0.03052,0.45256,1.3782,0.0069467,0.077671,0.29553,0.0035454,0.021742,0,0,0.69447,4,0
40,0,0.090098,32.72,99.457,0.020339,80.375,97.582,0.20222,0.13861,1.3738,0.05435,0.18,0.79426,0.0060434,0.029666,0,0,1.9333,4,0
41,0,0.071937,35.573,0.020239,0.006444,88.742,99.998,2.0185,0.33085,0.18715,0.21336,0.11401,0.37516,0.014852,0.024477,0,0,0.18254,4,0
42,0,0.01543,23.953,3.6445,0.074156,0.076185,99.366,0.39549,0.31872,0.13496,0.017869,0.34062,20.276,0.049222,0.029881,0,0,0.16969,4,111.53
43,0,0.051025,32.346,29.877,0.0087518,99.808,99.714,1.34,0.36425,0.10408,0.5623,0.25529,45.63,0.015963,0.013844,0,0,0.62101,4,0
44,0,0.14988,86.533,0.41745,0.0074296,0.00015048,99.928,1.0565,2.0694,1.8084,12.058,0.16016,16.854,0.001182,0.21308,0,0,0.92233,4,0
45,0,0.090444,47.778,99.967,0.099109,98.093,99.985,0.97889,0.51862,0.84309,0.36399,0.22292,0.47808,0.007244,0.035711,0,0,3.1666,4,0
46,0,0.0071802,16.875,0.099043,0.0020501,6.16E-06,98.447,0.25075,0.51554,0.018478,0.022302,0.0434,0.21181,0.0014252,0.029484,0,0,0.076642,4,154.45
47,0,0.0043018,95.507,99.965,0.0004223,99.213,99.96,0.391,0.17647,0.3733,0.29034,0.10165,0.51144,0.0028853,0.048496,0,0,2.4618,4,0
48,0,0.38376,71.589,0.02605,0.021125,0.0012581,29.805,2.0519,1.752,0.13555,0.081158,0.11858,9.2575,0.0014256,0.1238,0,0,0.14522,4,0
49,0,0.00079803,26.24,0.0017686,1.22E-05,1.71E-06,39.206,0.27183,0.66429,0.0032503,0.22664,0.0011401,0.93251,4.75E-05,0.11975,0,0,0.16997,4,106.61
50,0,0.1829,36.954,30.686,3.1458,37.441,60.231,1.0187,2.1446,0.50388,0.6606,4.9288,5.9926,0.89679,0.20503,0,0,3.0214,4,150.64
51,0,0.0004276,1.809,0.0077077,2.29E-05,2.03E-05,51.975,0.018051,0.04991,0.012452,0.0080276,0.011429,0.51498,0.00016421,0.02795,0,0,0.028832,4,0
52,0,0.0039886,74.152,0.46612,0.052248,0.004192,5.4005,0.17451,0.7848,0.057901,0.023472,1.1824,8.0962,0.10198,2.2134,0,0,15.058,4,0
53,0,0.084693,1.0006,12.346,4.17E-07,99.704,0.00018416,0.087951,0.013119,0.057296,0.0021093,0.0046192,0.037654,0.0040872,0.48178,0,0,2.2143,4,0
54,0,0.0041927,1.3843,0.0090928,2.55E-05,2.10E-05,0.095484,0.017193,0.037913,0.00835,0.0065574,0.0021834,0.088738,0.00044615,0.030155,0,0,0.41642,4,0
55,0,0.016203,10.972,3.8038,0.040124,0.00096613,41.313,0.032432,2.5779,0.072637,0.018811,0.54348,0.74199,0.10728,1.0253,0,0,0.56544,4,114.97
56,0,0.20818,11.628,15.536,3.0269,0.00022312,0.0044619,0.017344,17.031,0.00075684,0.0075911,2.0257,8.9807,0.25778,0.52633,0,0,11.756,4,0
57,0,0.00020394,0.02101,0.00048529,2.59E-05,4.28E-07,0.69744,0.024859,0.062299,0.00041838,0.0077192,0.0065464,0.079828,0.0011035,0.027963,0,0,0.066173,4,0
58,0,0.0054963,5.8454,99.904,0.00020159,2.7306,33.955,0.24655,0.23006,0.4896,0.30768,0.0064813,0.10749,0.0004257,0.06864,0,0,3.5217,4,0
59,0,0.1829,36.954,30.686,3.1458,37.441,60.231,1.0187,2.1446,0.50388,0.6606,4.9288,5.9926,0.89679,0.20503,0,0,3.0214,4,0
60,0,0.0013406,0.76832,0.0018309,4.36E-05,1.17E-06,0.086174,0.28386,0.67617,0.0074429,0.0040984,0.025664,0.20913,0.0002866,0.021637,0,0,0.060443,4,0
61,0,0.050229,29.639,0.13696,0.00065343,9.59E-05,76.383,0.4024,0.6852,0.092752,0.28736,0.036754,4.5877,0.014742,0.32359,0,0,0.66502,4,156.81
62,0,0.029336,74.969,97.375,3.5167,2.5835,99.903,0.44798,0.67333,0.2326,0.044676,84.265,9.6794,4.1519,0.38442,0,0,0.48094,4,0
63,0,0.97455,8.6775,62.975,0.0026227,99.826,55.019,0.33222,1.0752,1.4833,0.069905,0.22866,4.0049,0.01352,0.050357,0,0,11.462,4,0
64,0,0.023185,21.207,98.058,0.0019267,99.755,30.991,0.16792,0.4495,0.19049,0.0082808,0.12865,0.34648,0.045795,0.31952,0,0,3.6428,4,0
1,0,0.0023444,79.303,8.9872,0.33407,100,99.728,0.8087,1.3921,0.010531,0.0038885,76.317,1.3289,68.117,32.64,0,0,0.040515,5,0
2,0,6.71E-05,30.531,0.0059652,1.1348,99.912,0.20813,0.16773,0.29456,0.0034011,0.014298,0.064673,0.46891,0.035327,0.28179,0,0,0.29764,5,199.96
3,0,5.97E-05,91.154,25.851,0.0041518,100,0.18122,0.029416,2.9381,0.054811,0.046276,2.701,41.187,0.01872,5.6492,0,0,0.56476,5,7.0508
4,0,0.00010453,28.172,0.20383,0.002679,99.761,0.15929,0.012432,0.41606,0.035622,0.059214,0.25588,1.333,0.010758,0.49053,0,0,0.16592,5,200
5,0,8.52E-05,87.667,99.809,0.025439,100,0.9251,0.067583,3.3222,0.0017351,0.028063,13.333,3.8463,0.35191,0.35856,0,0,0.025471,5,200
6,0,0.0045194,7.04,99.985,66.277,100,0.96516,0.10179,6.0795,0.029186,0.10788,99.06,8.6754,94.2,8.6772,0,0,0.6381,5,4.9646
7,0,3.77E-05,71.503,0.15169,0.0033654,100,3.4475,0.03022,0.36471,0.058499,0.079753,0.082655,12.1,0.0026911,0.33861,0,0,0.24065,5,193.85
8,0,1.19E-05,13.434,26.808,0.012533,100,0.23773,0.0049439,0.24656,0.035915,0.0082016,5.7655,0.20712,0.051258,0.36541,0,0,0.097522,5,104.89
9,0,7.72E-06,94.084,23.861,0.0035485,99.332,0.10217,0.038052,7.9778,0.00082371,0.012404,0.301,1.2666,0.92894,0.23289,0,0,0.052153,5,0
10,0,6.34E-06,2.7923,5.7184,0.012089,93.724,0.011255,0.005403,0.30909,0.021497,0.046202,0.52108,2.3687,0.44371,0.22057,0,0,0.13626,5,200
11,0,3.27E-05,49.113,95.313,0.068731,100,0.19242,0.013243,2.4379,0.076498,0.0098236,15.529,17.17,0.32618,0.85216,0,0,0.26212,5,113.23
12,0,5.57E-06,22.746,0.030187,0.00078837,25.754,0.19979,0.00216,0.074046,0.028266,0.081147,0.20359,1.2261,0.011399,0.077907,0,0,0.20594,5,165.69
13,0,1.03E-06,93.895,0.0058867,0.041254,99.553,0.023837,0.17308,5.4005,8.35E-05,0.074773,2.664,0.53922,5.9047,1.2708,0,0,0.04903,5,160.13
14,0,7.84E-05,4.6594,8.2601,0.024946,99.997,0.014094,0.017852,2.1487,0.12855,0.20354,8.2053,1.1237,68.521,11.328,0,0,0.26452,5,188.89
15,0,9.35E-06,76.047,97.079,0.0034471,99.69,0.94516,0.056422,2.1304,0.1004,0.39601,10.19,94.32,2.2819,0.55485,0,0,0.36053,5,196.76
16,0,9.81E-05,42.613,44.938,1.2691,100,0.35947,0.27762,10.886,0.0465,0.14343,53.582,29.987,46.317,88.765,0,0,16.289,5,167.78
17,0,8.03E-06,7.8089,0.089489,0.0028118,99.991,0.023598,0.0067515,0.32049,0.0035527,0.0029466,0.036047,1.4897,0.0091899,0.091913,0,0,0.034944,5,183.77
18,0,0.00014451,27.109,87.366,0.046924,99.983,0.13153,0.023832,13.524,0.34029,0.05001,36.389,18.421,0.060835,1.08,0,0,0.19589,5,168.03
19,0,0.00022838,10.954,0.061133,0.0017361,99.999,0.057865,0.0055381,0.6818,0.029454,0.0082557,0.078158,1.4658,0.061051,0.21419,0,0,0.21928,5,48.975
20,0,0.011153,19.888,31.744,0.0039756,100,0.27149,0.0039917,0.52677,2.6301,0.25423,5.7083,1.5572,0.044454,0.17485,0,0,1.2884,5,18.485
21,0,8.97E-06,94.728,41.86,0.015176,100,0.22543,0.26339,16.048,0.0014691,0.086371,44.05,7.6179,95.455,0.5785,0,0,0.082692,5,131.25
22,0,0.0004897,2.8083,1.559,0.02294,100,0.013604,0.0047514,2.83,0.53673,0.1731,0.38624,2.9222,3.1837,0.91137,0,0,0.21599,5,181.11
23,0,0.00022598,16.781,0.056858,0.0056996,99.998,0.025023,0.016527,1.8233,0.098404,0.024815,1.4678,1.9628,0.51141,1.283,0,0,0.15706,5,104.78
24,0,0.00098872,82.21,18.115,11.518,99.985,0.09136,0.014323,9.801,0.14688,0.029675,46.866,4.7888,78.16,3.3183,0,0,0.71949,5,10.432
25,0,2.84E-05,98.754,25.359,0.011867,99.953,0.3302,2.0715,60.795,0.00070334,0.076064,2.3539,40.693,0.98579,5.3861,0,0,0.048605,5,0.60052
26,0,0.0013296,8.9837,33.813,0.0088392,99.995,0.02867,0.015867,3.5799,0.19592,0.25667,2.8012,0.29459,0.14108,1.0655,0,0,0.10345,5,193.25
27,0,0.00018313,68.448,99.466,0.0078421,100,0.11314,0.15845,12.318,0.0046491,0.007185,0.13124,2.0469,0.011271,0.5953,0,0,0.11263,5,165.52
28,0,0.0019048,6.7614,0.039636,0.010623,100,0.031882,0.035662,0.28311,0.075526,0.25978,0.15669,0.2108,0.050025,0.14191,0,0,0.16961,5,3.8331
29,0,6.57E-05,81.759,1.1442,0.0014607,99.994,0.043201,0.081561,1.9273,0.00034665,0.33581,0.085495,1.3562,0.0098537,0.30226,0,0,0.0278,5,196.14
30,0,0.0013208,92.643,0.018069,0.055351,100,0.20493,1.0958,49.493,0.040365,1.1908,0.11475,4.6894,0.0092461,0.45377,0,0,0.055096,5,190.42
31,0,0.003138,4.3602,38.721,0.089101,99.983,0.31795,0.80425,16.325,0.21895,0.012109,0.34923,90.798,0.0034417,1.5614,0,0,4.0384,5,110.26
32,0,0.0012511,5.3576,0.028799,0.0015599,100,0.17106,0.049721,0.46189,0.10406,0.013369,0.16438,0.059023,0.14445,0.87577,0,0,0.27897,5,127.92
33,0,7.67E-05,55.094,2.7635,90.942,99.996,0.079522,0.057743,0.77891,0.061798,0.040596,50.527,0.43918,29.59,1.9752,0,0,0.71511,5,9.4203
34,0,0.00050964,85.701,12.672,0.012037,100,8.8293,0.017321,0.94471,0.054809,0.045652,2.701,41.246,0.084994,1.0188,0,0,0.41637,5,189.81
35,0,0.00089064,87.04,3.4559,0.013806,100,1.0057,0.028897,3.2615,0.036015,0.06467,0.099541,1.363,0.19337,1.2344,0,0,0.14144,5,137.54
36,0,8.75E-05,59.397,0.48801,0.000986,100,0.024215,0.018235,0.12908,0.0081942,0.057288,0.020657,0.77424,0.27886,0.53967,0,0,0.11183,5,181.7
37,0,8.52E-05,91.894,99.809,0.025439,100,0.9251,0.13475,3.3222,0.0017351,0.028063,13.333,3.8463,0.35191,0.35856,0,0,0.039204,5,195.61
38,0,0.00050041,29.974,98.624,0.14841,100,0.10505,0.090795,19.374,0.29949,0.065177,0.099487,2.9123,21.856,0.64565,0,0,0.14746,5,1.9128
39,0,3.71E-05,82.599,4.0686,0.032742,100,0.87443,0.062255,0.59128,0.029919,0.16283,7.6806,2.5312,0.79539,9.106,0,0,0.08129,5,181.31
40,0,0.00013303,90.964,93.293,0.0073145,100,0.31047,0.022584,1.8595,0.038522,0.031172,14.827,0.76151,61.795,2.524,0,0,0.092172,5,157.01
41,0,3.80E-05,96.011,98.923,0.19027,99.975,2.7941,0.13869,4.3062,0.0010358,0.005265,97.453,0.39821,99.339,7.536,0,0,0.91488,5,0
42,0,0.0001082,3.8648,0.014479,0.011703,100,0.012217,0.019006,0.41163,0.014279,1.5095,0.057792,1.8841,0.0069736,0.62394,0,0,0.14577,5,177.58
43,0,0.00025036,27.144,35.306,0.078122,99.999,0.12462,0.016847,1.3102,0.087465,0.1682,2.6365,17.207,0.035162,0.20922,0,0,0.25555,5,131.07
44,0,0.0010619,27.798,0.71979,0.0085346,99.999,0.14477,0.0087177,0.4505,0.02686,0.042713,3.7566,1.2949,0.021106,0.26209,0,0,0.52559,5,177.56
