predictors_amp_n_ 1,predictors_amp_n_ 2,predictors_amp_n_ 3,predictors_amp_n_ 4,predictors_amp_n_ 5,predictors_amp_n_ 6,predictors_amp_n_ 7,predictors_amp_n_ 8,predictors_amp_n_ 9,predictors_amp_n_10,predictors_amp_n_11,predictors_amp_n_12,predictors_amp_n_13,predictors_amp_n_14,predictors_amp_n_15,predictors_amp_n_16,predictors_amp_n_17,predictors_amp_n_18,predictors_amp_n_19,predictors_amp_n_20,Var2
34,0,22.763,19.911,0.0079788,0.00023179,3.9209,0.35087,1.6359,0.065098,2.3302,0.00075788,0.01591,0.019162,0.0030203,0.032411,0,0,0.13171,1,110.38
35,0,18.08,0.81033,11.506,0.31058,59.809,0.0021814,34.84,60.903,1.4472,0.079932,0.63109,48.88,0.72201,99.807,0,0,77.931,1,101.32
36,0,44.581,88.778,0.00034948,0.00099837,0.1739,0.021473,2.6997,0.23182,22.43,0.00016253,0.049736,0.080521,0.022517,0.49913,0,0,0.16176,1,105.34
37,0,57.101,13.218,0.10524,0.00011757,0.80695,0.062714,3.36,0.1245,2.817,0.00075761,0.014378,0.01681,0.0021264,0.020084,0,0,0.1065,1,0
38,0,9.2128,0.43574,0.77331,0.096484,45.074,0.00020871,5.1079,0.55492,0.2214,0.0050884,2.4086,0.18138,0.0071206,0.063607,0,0,0.0055323,1,0
39,0,40.706,92.241,0.034904,0.00071518,0.093011,0.19909,12.887,0.25714,15.926,0.0016885,0.019179,0.045988,0.028937,0.02443,0,0,0.032251,1,110.75
40,0,15.632,31.777,0.02519,0.00092614,1.0945,0.047399,3.2446,0.19933,2.8451,0.003265,0.041338,0.048165,0.0031788,0.016903,0,0,0.027954,1,0
41,0,37.505,54.562,0.14215,0.00026208,1.0096,0.14039,12.765,0.13803,6.0907,0.00059423,0.020371,0.033343,0.0026711,0.011131,0,0,0.058944,1,0
42,0,5.2406,46.248,0.042661,0.00017064,18.439,0.052409,10.83,0.24801,3.78,0.0019073,0.015072,0.022859,0.00083125,0.011946,0,0,0.057755,1,115.9
43,0,0.10169,90.624,1.8302,0.23995,98.539,88.126,54.241,3.5774,0.09231,4.1333,34.447,0.42023,2.159,0.95865,0,0,1.2616,1,102.52
44,0,38.139,98.342,3.3887,62.266,89.581,97.962,33.084,12.913,19.449,0.11017,36.955,5.0247,1.0959,0.24024,0,0,45.463,1,53.492
45,0,0.33215,85.294,10.503,0.0050549,85.655,94.672,30.614,2.9654,0.17187,0.0084544,0.16011,0.13256,0.078514,27.634,0,0,0.47493,1,51.955
